27/11/2023 10:23:50 am
Time(s)	Displacement(mm) Force(N)
0.0000	50.0000	-0.3448
0.1460	50.0000	-0.3457
0.2471	50.0000	-0.3442
0.3479	50.0000	-0.3433
0.4480	50.0000	-0.3431
0.5482	50.0000	-0.3422
0.6490	50.0000	-0.3438
0.7490	50.0000	-0.3455
0.8490	50.0000	-0.3439
0.9491	50.0000	-0.3451
1.0496	50.0000	-0.3446
1.1495	50.0000	-0.3455
1.2491	50.0000	-0.3436
1.3497	50.0000	-0.3432
1.4499	50.0000	-0.3434
1.5501	50.0000	-0.3441
1.6509	50.0000	-0.3445
1.7511	50.0000	-0.3437
1.8516	50.0000	-0.3463
1.9511	50.0000	-0.3437
2.0516	50.0000	-0.3452
2.1512	50.0000	-0.3432
2.2530	50.0000	-0.3429
2.3527	50.0000	-0.3460
2.4528	50.0000	-0.3460
2.5541	50.0000	-0.3447
2.6544	50.0000	-0.3451
2.7545	50.0000	-0.3434
2.8541	50.0000	-0.3452
2.9544	50.0000	-0.3462
3.0543	50.0000	-0.3454
3.1553	50.0000	-0.3441
3.2569	50.0000	-0.3450
3.3567	50.0000	-0.3428
3.4567	50.0000	-0.3445
3.5566	50.0000	-0.3451
3.6564	50.0000	-0.3443
3.7561	50.0000	-0.3452
3.8561	50.0000	-0.3442
3.9562	50.0000	-0.3450
4.0580	50.0000	-0.3448
4.1573	50.0000	-0.3426
4.2572	50.0000	-0.3442
4.3571	50.0000	-0.3446
4.4590	50.0000	-0.3429
4.5586	50.0000	-0.3462
4.6593	50.0000	-0.3424
4.7606	50.0000	-0.3462
4.8607	50.0000	-0.3455
4.9616	50.0000	-0.3441
5.0620	50.0000	-0.3456
5.1623	50.0000	-0.3445
5.2627	50.0000	-0.3442
5.3626	50.0000	-0.3445
5.4624	50.0000	-0.3469
5.5639	50.0000	-0.3448
5.6639	50.0000	-0.3447
5.7641	50.0000	-0.3446
5.8645	50.0000	-0.3461
5.9642	50.0000	-0.3443
6.0644	50.0000	-0.3437
6.1643	50.0000	-0.3465
6.2645	50.0000	-0.3426
6.3645	50.0000	-0.3452
6.4643	50.0000	-0.3454
6.5643	50.0000	-0.3444
6.6652	50.0000	-0.3456
6.7664	50.0000	-0.3452
6.8669	50.0000	-0.3451
6.9666	50.0000	-0.3432
7.0671	50.0000	-0.3450
7.1676	50.0000	-0.3439
7.2676	50.0000	-0.3447
7.3689	50.0000	-0.3446
7.4684	50.0000	-0.3461
7.5690	50.0000	-0.3460
7.6686	50.0000	-0.3453
7.7689	50.0000	-0.3466
7.8685	50.0000	-0.3457
7.9692	50.0000	-0.3441
8.0698	50.0000	-0.3461
8.1695	50.0000	-0.3460
8.2702	50.0000	-0.3448
8.3712	50.0000	-0.3470
8.4715	50.0000	-0.3435
8.5713	50.0000	-0.3459
8.6720	50.0000	-0.3447
8.7730	50.0000	-0.3423
8.8740	50.0000	-0.3468
8.9747	50.0000	-0.3446
9.0751	50.0000	-0.3460
9.1743	50.0000	-0.3463
9.2744	50.0000	-0.3441
9.3745	50.0000	-0.3434
9.4745	50.0000	-0.3452
9.5745	50.0000	-0.3447
9.6745	50.0000	-0.3423
9.7744	50.0000	-0.3451
9.8745	50.0000	-0.3451
9.9754	50.0000	-0.3442
10.0760	50.0000	-0.3442
10.1767	50.0000	-0.3469
10.2768	50.0000	-0.3443
10.3768	50.0000	-0.3444
10.4761	50.0000	-0.3454
10.5771	50.0000	-0.3451
10.6775	50.0000	-0.3464
10.7771	50.0000	-0.3453
10.8777	50.0000	-0.3451
10.9777	50.0000	-0.3449
11.0777	50.0000	-0.3427
11.1779	50.0000	-0.3463
11.2772	50.0000	-0.3434
11.3778	50.0000	-0.3447
11.4772	50.0000	-0.3441
11.5778	50.0000	-0.3433
11.6783	50.0000	-0.3430
11.7787	50.0000	-0.3454
11.8781	50.0000	-0.3443
11.9788	50.0000	-0.3442
12.0784	50.0000	-0.3465
12.1789	50.0000	-0.3440
12.2792	50.0000	-0.3442
12.3811	50.0000	-0.3444
12.4813	50.0000	-0.3449
12.5821	50.0000	-0.3433
12.6821	50.0000	-0.3463
12.7815	50.0000	-0.3432
12.8821	50.0000	-0.3451
