4/12/2023 10:51:51 am
Time(s)	Displacement(mm)	Force(N)
0.0000	49.8480	1.3167
0.1416	49.3290	1.3304
0.2425	48.6460	1.3320
0.3425	47.9630	1.3316
0.4424	47.3130	1.3311
0.5427	46.6290	1.3317
0.6428	45.9800	1.3305
0.7428	45.2960	1.3290
0.8419	44.6470	1.3336
0.9423	43.9630	1.3275
1.0422	43.3140	1.3278
1.1427	42.6300	1.3301
1.2423	41.9810	1.3307
1.3433	41.2970	1.3351
1.4433	40.6480	1.3377
1.5433	39.9640	1.3317
1.6440	39.2810	1.3355
1.7442	38.6310	1.3292
1.8451	37.9480	1.3323
1.9457	37.2980	1.3302
2.0454	36.6150	1.3347
2.1459	35.9650	1.3321
2.2455	35.2790	1.3288
2.3461	34.6300	1.3283
2.4465	33.9460	1.3326
2.5468	33.2970	1.3334
2.6470	32.6130	1.3338
2.7481	31.9300	1.3260
2.8480	31.2800	1.3320
2.9480	30.5960	1.3333
3.0485	29.9470	1.3348
3.1489	29.2630	1.3320
3.2488	28.6140	1.3323
3.3481	27.9310	1.3309
3.4485	27.2810	1.3300
3.5490	26.5970	1.3325
3.6493	25.9480	1.3336
3.7497	25.2620	1.3291
3.8493	24.5790	1.3336
3.9493	23.9290	1.3309
4.0493	23.2800	1.3278
4.1491	22.5960	1.3329
4.2493	21.9470	1.3335
4.3493	21.2630	1.3315
4.4493	20.5790	1.3323
4.5491	19.9300	1.3346
4.6499	19.2810	1.3341
4.7493	18.5950	1.3314
4.8493	17.9450	1.3324
4.9492	17.2610	1.3323
5.0493	16.6120	1.3304
5.1493	15.9290	1.3334
5.2493	15.2790	1.3320
5.3491	14.5960	1.3287
5.4493	13.9460	1.3314
5.5493	13.2600	1.3310
5.6493	12.6110	1.3305
5.7493	11.9270	1.3324
5.8494	11.2770	1.3291
5.9493	10.5940	1.3310
6.0498	9.9440	1.3310
6.1493	9.2610	1.3319
6.2492	8.6120	1.3297
6.3493	7.9280	1.3339
6.4493	7.2790	1.3307
6.5493	6.5950	1.3293
6.6494	5.9460	1.3290
6.7493	5.2620	1.3313
6.8510	4.5780	1.3294
6.9502	3.9290	1.3336
7.0513	3.2450	1.3312
7.1513	2.5960	1.3343
7.2515	1.9120	1.3324
7.3513	1.2630	1.3326
7.4513	0.5790	1.3321
7.5513	-0.1030	1.3331
7.6516	-0.7530	1.3316
7.7512	-1.4020	1.3330
7.8516	-2.0860	1.3294
7.9513	-2.7350	1.3322
8.0517	-3.4190	1.3291
8.1517	-4.0680	1.3329
8.2518	-4.7520	1.3285
8.3525	-5.4360	1.3314
8.4528	-6.0850	1.3333
8.5530	-6.7340	1.3356
8.6531	-7.4200	1.3312
8.7535	-8.1040	1.3294
8.8538	-8.7530	1.3348
8.9533	-9.4370	1.3311
9.0538	-10.0860	1.3378
9.1535	-10.7700	1.3327
9.2546	-11.4190	1.3368
9.3557	-12.1030	1.3296
9.4567	-12.7860	1.3312
9.5569	-13.4360	1.3326
9.6570	-14.1190	1.3316
9.7571	-14.8030	1.3318
9.8579	-15.4520	1.3318
9.9577	-16.1360	1.3286
10.0574	-16.7860	1.3288
10.1574	-17.4690	1.3318
10.2579	-18.1180	1.3301
10.3581	-18.8020	1.3291
10.4592	-19.4510	1.3343
10.5594	-20.1370	1.3318
10.6594	-20.7870	1.3275
10.7592	-21.4710	1.3330
10.8594	-22.1200	1.3321
10.9600	-22.8040	1.3314
11.0594	-23.4530	1.3346
11.1593	-24.1370	1.3325
11.2594	-24.7860	1.3261
11.3594	-25.4720	1.3279
11.4594	-26.1210	1.3359
11.5594	-26.8050	1.3303
11.6601	-27.4890	1.3323
11.7602	-28.1380	1.3293
11.8602	-28.8220	1.3330
11.9611	-29.4710	1.3315
12.0615	-30.1570	1.3318
12.1618	-30.8060	1.3292
12.2621	-31.4900	1.3299
12.3623	-32.1730	1.3329
12.4627	-32.8230	1.3317
12.5631	-33.4730	1.3275
12.6622	-34.1560	1.3300
12.7633	-34.8400	1.3331
