4/12/2023 12:23:57 pm
Time(s)	Displacement(mm)	Force(N)
0.0000	-281.2420	1.0455
0.1435	-281.2420	1.0431
0.2432	-281.2420	1.0451
0.3450	-281.2420	1.0452
0.4447	-281.2420	1.0444
0.5445	-281.2420	1.0461
0.6446	-281.2420	1.0440
0.7455	-281.2420	1.0417
0.8459	-281.2420	1.0420
0.9455	-281.2420	1.0463
1.0469	-281.2420	1.0439
1.1467	-281.2420	1.0454
1.2464	-281.2420	1.0439
1.3467	-281.2420	1.0450
1.4467	-281.2420	1.0430
1.5463	-281.2420	1.0454
1.6468	-281.2420	1.0444
1.7470	-281.2420	1.0437
1.8489	-281.2420	1.0433
1.9482	-281.2420	1.0423
2.0480	-281.2420	1.0440
2.1484	-281.2420	1.0425
2.2481	-281.2420	1.0418
2.3486	-281.2420	1.0451
2.4480	-281.2420	1.0428
2.5500	-281.2420	1.0447
2.6491	-281.2420	1.0445
2.7505	-281.2420	1.0461
2.8501	-281.2420	1.0462
2.9507	-281.2420	1.0460
3.0511	-281.2420	1.0444
3.1515	-281.2420	1.0434
3.2510	-281.2420	1.0422
3.3516	-281.2420	1.0462
3.4521	-281.2420	1.0456
3.5537	-281.2420	1.0465
3.6535	-281.2420	1.0428
3.7540	-281.2420	1.0443
3.8532	-281.2420	1.0446
3.9532	-281.2420	1.0463
4.0532	-281.2420	1.0457
4.1533	-281.2420	1.0435
4.2544	-281.2420	1.0440
4.3541	-281.2420	1.0456
4.4559	-281.2420	1.0458
4.5564	-281.2420	1.0436
4.6561	-281.2420	1.0439
4.7579	-281.2420	1.0429
4.8582	-281.2420	1.0429
4.9588	-281.2420	1.0424
5.0591	-281.2420	1.0450
5.1606	-281.2420	1.0445
5.2606	-281.2420	1.0430
5.3613	-281.2420	1.0449
5.4614	-281.2420	1.0488
5.5615	-281.2420	1.0423
5.6616	-281.2420	1.0418
5.7619	-281.2420	1.0420
5.8622	-281.2420	1.0426
5.9628	-281.2420	1.0467
6.0629	-281.2420	1.0428
6.1629	-281.2420	1.0444
6.2621	-281.2420	1.0436
6.3628	-281.2420	1.0479
6.4637	-281.2420	1.0455
6.5633	-281.2420	1.0437
6.6649	-281.2420	1.0465
6.7643	-281.2420	1.0492
6.8647	-281.2420	1.0508
6.9644	-281.2420	1.0453
7.0651	-281.2420	1.0458
7.1653	-281.2420	1.0442
7.2659	-281.2420	1.0413
7.3656	-281.2420	1.0471
7.4651	-281.2420	1.0437
7.5661	-281.2420	1.0445
7.6662	-281.2420	1.0433
7.7675	-281.2420	1.0484
7.8672	-281.2420	1.0423
7.9680	-281.2420	1.0412
8.0679	-281.2420	1.0456
8.1675	-281.2420	1.0424
8.2673	-281.2420	1.0457
8.3678	-281.2420	1.0439
8.4691	-281.2420	1.0432
8.5682	-281.2420	1.0456
8.6684	-281.2420	1.0474
8.7681	-281.2420	1.0470
8.8709	-281.2420	1.0458
8.9706	-281.2420	1.0448
9.0708	-281.2420	1.0461
9.1719	-281.2420	1.0479
9.2729	-281.2420	1.0450
9.3724	-281.2420	1.0488
9.4722	-281.2420	1.0507
9.5729	-281.2420	1.0496
9.6726	-281.2420	1.0475
9.7727	-281.2420	1.0501
9.8725	-281.2420	1.0511
9.9724	-281.2420	1.0488
10.0731	-281.2420	1.0494
10.1729	-281.2420	1.0436
10.2722	-281.2420	1.0485
10.3728	-281.2420	1.0455
10.4733	-281.2420	1.0508
10.5733	-281.2420	1.0474
10.6741	-281.2420	1.0440
10.7732	-281.2420	1.0491
10.8733	-281.2420	1.0470
10.9738	-281.2420	1.0507
11.0739	-281.2420	1.0524
11.1740	-281.2420	1.0499
11.2740	-281.2420	1.0479
11.3734	-281.2420	1.0488
11.4749	-281.2420	1.0495
11.5753	-281.2420	1.0497
11.6766	-281.2420	1.0527
11.7767	-281.2420	1.0509
11.8772	-281.2420	1.0491
11.9775	-281.2420	1.0476
12.0772	-281.2420	1.0470
12.1782	-281.2420	1.0457
12.2784	-281.2420	1.0494
12.3786	-281.2420	1.0483
12.4794	-281.2420	1.0479
12.5792	-281.2420	1.0469
12.6799	-281.2420	1.0492
12.7796	-281.2420	1.0506
12.8794	-281.2420	1.0526
12.9811	-281.2420	1.0512
13.0808	-281.2420	1.0496
13.1805	-281.2420	1.0475
13.2803	-281.2420	1.0434
13.3810	-281.2420	1.0503
13.4807	-281.2420	1.0492
13.5805	-281.2420	1.0500
13.6802	-281.2420	1.0526
13.7804	-281.2420	1.0474
13.8806	-281.2420	1.0490
13.9823	-281.2420	1.0461
14.0826	-281.2420	1.0499
14.1827	-281.0970	1.0604
14.3060	-281.0000	1.0403
14.4056	-280.9990	1.0524
14.5053	-280.9990	1.0540
14.6052	-280.9990	1.0506
14.7059	-280.9990	1.0561
14.8068	-280.9990	1.0550
14.9075	-280.9990	1.0580
15.0088	-280.9990	1.0573
15.1090	-280.9990	1.0533
15.2082	-280.9990	1.0515
15.3085	-281.0000	1.0526
15.4087	-281.0000	1.0540
15.5099	-281.0000	1.0564
15.6100	-281.0000	1.0559
15.7099	-281.0000	1.0522
15.8092	-281.0000	1.0547
15.9092	-281.0000	1.0544
16.0099	-281.0000	1.0527
16.1104	-281.0000	1.0541
16.2115	-281.0000	1.0590
16.3117	-281.0000	1.0543
16.4117	-281.0000	1.0531
16.5122	-281.0000	1.0530
16.6132	-281.0000	1.0536
16.7133	-281.0000	1.0548
16.8139	-281.0000	1.0552
16.9133	-281.0000	1.0571
17.0134	-281.0000	1.0557
17.1137	-281.0000	1.0566
17.2136	-281.0000	1.0560
17.3140	-281.0000	1.0525
17.4134	-281.0000	1.0533
17.5141	-281.0000	1.0565
17.6133	-281.0000	1.0534
17.7136	-281.0000	1.0531
17.8136	-281.0000	1.0542
17.9147	-281.0000	1.0561
18.0149	-281.0000	1.0560
18.1146	-281.0000	1.0533
18.2160	-281.0000	1.0543
18.3169	-281.0000	1.0543
18.4164	-281.0000	1.0583
18.5173	-281.0000	1.0598
18.6180	-281.0000	1.0613
18.7189	-281.0000	1.0587
18.8186	-281.0000	1.0574
18.9184	-281.0000	1.0578
19.0185	-281.0000	1.0567
19.1184	-281.0000	1.0607
19.2185	-281.0000	1.0616
19.3184	-281.0000	1.0628
19.4184	-281.0000	1.0605
19.5187	-281.0000	1.0603
19.6185	-281.0000	1.0605
19.7192	-281.0000	1.0570
19.8184	-281.0000	1.0544
19.9198	-281.0000	1.0581
20.0205	-281.0000	1.0611
20.1207	-281.0000	1.0591
20.2205	-281.0000	1.0593
20.3213	-281.0000	1.0554
20.4213	-281.0000	1.0562
20.5221	-281.0000	1.0587
20.6215	-281.0000	1.0563
20.7230	-281.0000	1.0590
20.8240	-281.0000	1.0602
20.9240	-281.0000	1.0592
21.0244	-281.0000	1.0587
21.1245	-281.0000	1.0553
21.2254	-281.0000	1.0574
21.3258	-281.0000	1.0615
21.4261	-281.0000	1.0618
21.5255	-281.0000	1.0628
21.6261	-281.0000	1.0618
21.7259	-281.0000	1.0630
21.8270	-281.0000	1.0600
21.9265	-281.0000	1.0582
22.0272	-281.0000	1.0586
22.1268	-281.0000	1.0579
22.2271	-281.0000	1.0600
22.3264	-281.0000	1.0608
22.4273	-281.0000	1.0615
22.5278	-281.0000	1.0642
22.6281	-281.0000	1.0608
22.7295	-281.0000	1.0624
22.8300	-281.0000	1.0602
22.9293	-281.0000	1.0611
23.0297	-281.0000	1.0611
23.1305	-281.0000	1.0582
23.2307	-281.0000	1.0600
23.3323	-281.0000	1.0600
23.4341	-281.0000	1.0617
23.5334	-281.0000	1.0633
23.6341	-281.0000	1.0648
23.7343	-281.0000	1.0615
23.8336	-281.0000	1.0609
23.9341	-281.0000	1.0594
24.0347	-281.0000	1.0600
24.1347	-281.0000	1.0616
24.2350	-281.0000	1.0625
24.3347	-281.0000	1.0635
24.4348	-281.0000	1.0622
24.5343	-281.0000	1.0629
24.6352	-281.0000	1.0586
24.7348	-281.0000	1.0591
24.8348	-281.0000	1.0606
24.9345	-281.0000	1.0630
25.0353	-281.0000	1.0654
25.1372	-281.0000	1.0613
25.2368	-281.0000	1.0614
25.3367	-281.0000	1.0601
25.4364	-281.0000	1.0637
25.5381	-281.0000	1.0625
25.6376	-281.0000	1.0620
25.7376	-281.0000	1.0603
25.8382	-281.0000	1.0608
25.9384	-281.0000	1.0590
26.0393	-281.0000	1.0614
26.1385	-281.0000	1.0614
26.2387	-281.0000	1.0631
26.3385	-281.0000	1.0628
26.4385	-281.0000	1.0622
26.5388	-281.0000	1.0597
