4/12/2023 3:45:38 pm
Time(s)	Displacement(mm)	Force(N)
0.0000	-265.7740	1.2462
0.1207	-266.1860	1.2522
0.2217	-266.8710	1.2419
0.3217	-267.5210	1.2349
0.4214	-268.2040	1.2277
0.5217	-268.8530	1.2132
0.6218	-269.5370	1.2051
0.7221	-270.1870	1.1947
0.8216	-270.8710	1.1823
0.9218	-271.5200	1.1709
1.0229	-272.2060	1.1659
1.1229	-272.8560	1.1532
1.2242	-273.5390	1.1453
1.3241	-274.2220	1.1445
1.4239	-274.8720	1.1419
1.5247	-275.5550	1.1387
1.6261	-276.2400	1.1368
1.7261	-276.8890	1.1399
1.8263	-277.5730	1.1339
1.9266	-278.2220	1.1298
2.0273	-278.9050	1.1315
2.1269	-279.5540	1.1320
2.2269	-280.2380	1.1312
2.3279	-280.8870	1.1302
2.4278	-281.5710	1.1283
2.5276	-282.2550	1.1260
2.6282	-282.9040	1.1295
2.7282	-283.5530	1.1307
2.8284	-284.2400	1.1290
2.9288	-284.8890	1.1276
3.0284	-285.5750	1.1272
3.1288	-286.2590	1.1269
3.2289	-286.9080	1.1267
3.3288	-287.5920	1.1247
3.4292	-288.2410	1.1238
3.5288	-288.8910	1.1192
3.6292	-289.5740	1.1222
3.7288	-290.2240	1.1172
3.8293	-290.9100	1.1150
3.9303	-291.5930	1.1101
4.0309	-292.2430	1.1074
4.1308	-292.9260	1.1021
4.2311	-293.5760	1.0988
4.3321	-294.2590	1.0887
4.4316	-294.9430	1.0827
4.5314	-295.5920	1.0738
4.6328	-296.2760	1.0650
4.7342	-296.9250	1.0522
4.8336	-297.6080	1.0376
4.9335	-298.2580	1.0201
5.0353	-298.9760	0.9983
5.1359	-299.6250	0.9768
5.2356	-300.2750	0.9587
5.3354	-300.9580	0.9347
5.4361	-301.6080	0.9066
5.5359	-302.2910	0.8794
5.6359	-302.9410	0.8506
5.7357	-303.6240	0.8167
5.8358	-304.2740	0.7763
5.9358	-304.9570	0.7426
6.0356	-305.6410	0.6992
6.1373	-306.2910	0.6492
6.2369	-306.9740	0.6033
6.3373	-307.6230	0.5478
6.4372	-308.3070	0.4858
6.5377	-308.9570	0.4250
6.6382	-309.6400	0.3582
6.7379	-310.2900	0.2830
6.8380	-310.9730	0.2002
6.9374	-311.6220	0.1081
7.0390	-312.3060	0.0092
7.1384	-312.9550	-0.1006
7.2385	-313.6390	-0.2214
7.3388	-314.3220	-0.3552
7.4386	-314.9720	-0.5368
7.5400	-315.6080	-1.0671
7.6396	-315.6410	-0.9771
7.7405	-315.6410	-0.9128
7.8402	-315.6410	-0.8765
7.9403	-315.6410	-0.8501
8.0399	-315.6400	-0.8317
8.1400	-315.6400	-0.8159
8.2398	-315.6400	-0.8022
8.3395	-315.6400	-0.7918
8.4402	-315.6400	-0.7776
8.5394	-315.6400	-0.7730
8.6402	-315.6400	-0.7663
8.7413	-315.6400	-0.7565
8.8406	-315.6400	-0.7532
8.9408	-315.6400	-0.7465
9.0411	-315.6400	-0.7404
9.1404	-315.6400	-0.7346
9.2404	-315.6400	-0.7319
9.3404	-315.6400	-0.7275
9.4407	-315.6400	-0.7207
9.5405	-315.6400	-0.7206
9.6407	-315.6400	-0.7196
9.7407	-315.6400	-0.7121
9.8407	-315.6400	-0.7109
9.9408	-315.6400	-0.7088
10.0406	-315.6400	-0.7024
10.1407	-315.6400	-0.7025
10.2407	-315.6400	-0.6995
10.3411	-315.6400	-0.6981
10.4406	-315.6400	-0.6965
10.5415	-315.6400	-0.6941
10.6422	-315.6400	-0.6902
10.7420	-315.6400	-0.6899
10.8433	-315.6400	-0.6850
10.9441	-315.6400	-0.6831
11.0440	-315.6400	-0.6828
11.1446	-315.6400	-0.6803
11.2463	-315.6400	-0.6784
11.3456	-315.6400	-0.6795
11.4465	-315.6400	-0.6777
11.5471	-315.6400	-0.6765
11.6475	-315.6400	-0.6713
11.7480	-315.6400	-0.6664
11.8490	-315.6400	-0.6703
11.9501	-315.6400	-0.6672
12.0495	-315.6400	-0.6701
12.1504	-315.6400	-0.6668
12.2507	-315.6400	-0.6644
12.3506	-315.6400	-0.6628
12.4508	-315.6400	-0.6634
12.5504	-315.6400	-0.6589
12.6508	-315.6400	-0.6589
12.7515	-315.6400	-0.6564
12.8527	-315.6400	-0.6535
12.9543	-315.6400	-0.6515
13.0546	-315.6400	-0.6538
13.1550	-315.6400	-0.6526
13.2553	-315.6400	-0.6513
13.3545	-315.6400	-0.6488
13.4546	-315.6400	-0.6492
13.5550	-315.6400	-0.6470
13.6546	-315.6400	-0.6464
13.7567	-315.6400	-0.6451
13.8559	-315.6400	-0.6489
13.9560	-315.6400	-0.6439
14.0565	-315.6400	-0.6423
14.1582	-315.6400	-0.6427
14.2583	-315.6400	-0.6414
14.3580	-315.6400	-0.6375
14.4577	-315.6400	-0.6415
14.5580	-315.6400	-0.6389
14.6579	-315.6400	-0.6393
14.7591	-315.6400	-0.6373
14.8587	-315.6400	-0.6357
14.9592	-315.6400	-0.6365
15.0588	-315.6400	-0.6374
15.1600	-315.6400	-0.6373
15.2599	-315.6400	-0.6336
15.3600	-315.6400	-0.6332
15.4597	-315.6400	-0.6315
15.5610	-315.6400	-0.6300
15.6607	-315.6400	-0.6298
15.7620	-315.6400	-0.6285
15.8616	-315.6400	-0.6311
15.9624	-315.6400	-0.6293
16.0617	-315.6400	-0.6282
16.1628	-315.6400	-0.6283
16.2624	-315.6400	-0.6261
16.3627	-315.6400	-0.6250
16.4628	-315.6400	-0.6259
16.5627	-315.6400	-0.6264
16.6625	-315.6400	-0.6243
16.7628	-315.6400	-0.6243
16.8628	-315.6400	-0.6224
16.9625	-315.6400	-0.6208
17.0626	-315.6400	-0.6229
17.1627	-315.6400	-0.6172
17.2627	-315.6400	-0.6198
17.3628	-315.6400	-0.6176
17.4628	-315.6400	-0.6172
17.5629	-315.6400	-0.6167
17.6629	-315.6400	-0.6166
17.7629	-315.6400	-0.6168
17.8628	-315.6400	-0.6200
17.9626	-315.6400	-0.6163
18.0629	-315.6400	-0.6169
18.1629	-315.6400	-0.6123
18.2627	-315.6400	-0.6136
18.3636	-315.6400	-0.6110
18.4635	-315.6400	-0.6110
18.5650	-315.6400	-0.6108
18.6653	-315.6400	-0.6102
