4/12/2023 4:49:00 pm
Time(s)	Displacement(mm)	Force(N)
0.0000	-266.9280	1.1656
0.1199	-267.3380	1.1728
0.2195	-268.0240	1.1673
0.3194	-268.6730	1.1607
0.4203	-269.3570	1.1559
0.5209	-270.0060	1.1510
0.6207	-270.6900	1.1547
0.7213	-271.3740	1.1507
0.8213	-272.0230	1.1571
0.9213	-272.7070	1.1592
1.0221	-273.3560	1.1564
1.1240	-274.0400	1.1595
1.2233	-274.6890	1.1613
1.3237	-275.3730	1.1605
1.4241	-276.0560	1.1659
1.5269	-276.7400	1.1670
1.6255	-277.3900	1.1655
1.7255	-278.0390	1.1704
1.8251	-278.7220	1.1720
1.9264	-279.4060	1.1808
2.0272	-280.0550	1.1784
2.1272	-280.7390	1.1861
2.2271	-281.4230	1.1904
2.3279	-282.0720	1.1922
2.4276	-282.7210	1.1943
2.5273	-283.4050	1.1998
2.6271	-284.0540	1.2031
2.7280	-284.7380	1.2078
2.8271	-285.3870	1.2095
2.9272	-286.0710	1.2167
3.0276	-286.7200	1.2214
3.1280	-287.4040	1.2258
3.2281	-288.0530	1.2344
3.3291	-288.7400	1.2377
3.4294	-289.4250	1.2428
3.5294	-290.0750	1.2493
3.6294	-290.7590	1.2549
3.7291	-291.4080	1.2589
3.8302	-292.0910	1.2657
3.9303	-292.7410	1.2701
4.0306	-293.4240	1.2723
4.1313	-294.1080	1.2793
4.2314	-294.7580	1.2850
4.3313	-295.4410	1.2856
4.4317	-296.0900	1.2900
4.5313	-296.7740	1.2891
4.6322	-297.4240	1.2890
4.7343	-298.1070	1.2858
4.8343	-298.7910	1.2767
4.9343	-299.4400	1.2750
5.0349	-300.1240	1.2657
5.1348	-300.7730	1.2478
5.2350	-301.4600	1.2319
5.3346	-302.1080	1.2094
5.4361	-302.7930	1.1714
5.5359	-303.4420	1.1289
5.6358	-304.1250	1.0794
5.7361	-304.8090	1.0177
5.8369	-305.4580	0.9400
5.9366	-306.1420	0.8427
6.0376	-306.7910	0.7303
6.1377	-307.4750	0.5852
6.2379	-308.1580	0.4199
6.3379	-308.8080	0.2210
6.4373	-309.4570	-0.0212
6.5373	-310.1410	-0.2971
6.6380	-310.7900	-0.6297
6.7374	-311.4740	-1.0213
6.8389	-312.1580	-1.4796
6.9392	-312.8070	-2.0183
7.0394	-313.4910	-2.6398
7.1402	-314.1400	-3.3526
7.2414	-314.8230	-4.1561
7.3412	-315.5070	-5.0509
7.4416	-316.1570	-6.0906
7.5414	-316.7780	-6.9819
7.6421	-316.8010	-6.9442
7.7414	-316.8010	-6.8851
