27/11/2023 10:22:30 am
Time(s)	Displacement(mm) Force(N)
0.0000	50.0000	-0.3487
4.8992	50.0000	-0.3370
5.0192	50.0000	-0.3560
5.1190	50.0000	-0.3286
5.2191	50.0000	-0.3473
5.3192	50.0000	-0.3501
5.4191	50.0000	-0.3421
5.5196	50.0000	-0.3511
5.6201	50.0000	-0.3450
5.7201	50.0000	-0.3443
5.8199	50.0000	-0.3397
5.9216	50.0000	-0.3538
6.0213	50.0000	-0.3384
6.1211	50.0000	-0.3501
6.2208	50.0000	-0.3405
6.3225	50.0000	-0.3502
6.4216	50.0000	-0.3441
6.5224	50.0000	-0.3477
6.6221	50.0000	-0.3462
6.7224	50.0000	-0.3367
6.8220	50.0000	-0.3525
6.9217	50.0000	-0.3410
7.0220	50.0000	-0.3431
7.1223	50.0000	-0.3507
7.2233	50.0000	-0.3555
7.3232	50.0000	-0.3489
7.4229	50.0000	-0.3407
7.5230	50.0000	-0.3130
7.6239	50.0000	-0.3507
7.7238	50.0000	-0.3567
7.8239	50.0000	-0.3459
7.9242	50.0000	-0.3255
8.0242	50.0000	-0.3480
8.1247	50.0000	-0.3538
8.2248	50.0000	-0.3414
8.3261	50.0000	-0.3383
8.4258	50.0000	-0.3538
8.5260	50.0000	-0.3400
8.6261	50.0000	-0.3456
8.7259	50.0000	-0.3304
8.8261	50.0000	-0.3538
8.9258	50.0000	-0.3439
9.0262	50.0000	-0.3433
9.1265	50.0000	-0.3568
9.2265	50.0000	-0.3379
9.3260	50.0000	-0.3262
9.4262	50.0000	-0.3520
9.5265	50.0000	-0.3503
9.6261	50.0000	-0.3366
9.7262	50.0000	-0.3408
9.8266	50.0000	-0.3515
9.9268	50.0000	-0.3352
10.0272	50.0000	-0.3550
10.1266	50.0000	-0.3372
10.2272	50.0000	-0.3433
10.3272	50.0000	-0.3522
10.4272	50.0000	-0.3327
10.5274	50.0000	-0.3346
10.6282	50.0000	-0.3516
10.7282	50.0000	-0.3327
10.8296	50.0000	-0.3432
10.9290	50.0000	-0.3513
11.0296	50.0000	-0.3329
11.1290	50.0000	-0.3498
11.2296	50.0000	-0.3390
11.3296	50.0000	-0.3510
11.4293	50.0000	-0.3471
11.5296	50.0000	-0.3346
11.6295	50.0000	-0.3538
11.7296	50.0000	-0.3413
11.8295	50.0000	-0.3316
11.9293	50.0000	-0.3485
12.0296	50.0000	-0.3456
12.1295	50.0000	-0.3307
12.2296	50.0000	-0.3446
12.3292	50.0000	-0.3423
12.4296	50.0000	-0.3234
12.5296	50.0000	-0.3451
12.6294	50.0000	-0.3447
12.7296	50.0000	-0.3502
12.8296	50.0000	-0.3537
12.9297	50.0000	-0.3358
13.0299	50.0000	-0.3474
13.1314	50.0000	-0.3479
13.2320	50.0000	-0.3357
13.3320	50.0000	-0.3497
13.4319	50.0000	-0.3375
13.5319	50.0000	-0.3438
13.6336	50.0000	-0.3412
13.7333	50.0000	-0.3424
13.8341	50.0000	-0.3421
13.9355	50.0000	-0.3416
14.0350	50.0000	-0.3403
14.1348	50.0000	-0.3423
14.2364	50.0000	-0.3428
14.3367	50.0000	-0.3402
14.4361	50.0000	-0.3401
14.5364	50.0000	-0.3421
14.6366	50.0000	-0.3490
14.7363	50.0000	-0.3348
14.8368	50.0000	-0.3489
14.9370	50.0000	-0.3387
15.0372	50.0000	-0.3636
15.1381	50.0000	-0.3507
15.2383	50.0000	-0.3478
15.3385	50.0000	-0.3451
15.4379	50.0000	-0.3476
15.5378	50.0000	-0.3443
15.6387	50.0000	-0.3503
15.7395	50.0000	-0.3372
15.8392	50.0000	-0.3510
15.9396	50.0000	-0.3397
16.0396	50.0000	-0.3460
16.1396	50.0000	-0.3440
16.2397	50.0000	-0.3536
16.3390	50.0000	-0.3406
16.4396	50.0000	-0.3486
16.5392	50.0000	-0.3443
