Time(s),Displacement(mm),Force(N)
0.0,49.848,3.358855153724531
0.1416,49.329,3.3865546682663195
0.2425,48.646,3.3897896480668206
0.3425,47.963,3.388980903116695
0.4424,47.313,3.3879699719290386
0.5427,46.629,3.3891830893542267
0.6428,45.98,3.386756854503851
0.7428,45.296,3.383724060940881
0.8419,44.647,3.393024627867321
0.9423,43.963,3.3806912673779115
1.0422,43.314,3.3812978260905058
1.1427,42.63,3.3859481095537256
1.2423,41.981,3.3871612269789133
1.3433,41.297,3.3960574214302905
1.4433,40.648,3.4013142636061042
1.5433,39.964,3.3891830893542267
1.644,39.281,3.396866166380416
1.7442,38.631,3.3841284334159436
1.8451,37.948,3.3903962067794144
1.9457,37.298,3.386150295791257
2.0454,36.615,3.3952486764801657
2.1459,35.965,3.389991834304352
2.2455,35.279,3.3833196884658188
2.3461,34.63,3.3823087572781625
2.4465,33.946,3.3910027654920083
2.5468,33.297,3.3926202553922584
2.647,32.613,3.393429000342384
2.7481,31.93,3.377658473814942
2.848,31.28,3.3897896480668206
2.948,30.596,3.392418069154727
3.0485,29.947,3.3954508627176967
3.1489,29.263,3.3897896480668206
3.2488,28.614,3.3903962067794144
3.3481,27.931,3.387565599453976
3.4485,27.281,3.3857459233161946
3.549,26.597,3.390800579254477
3.6493,25.948,3.393024627867321
3.7497,25.262,3.3839262471784126
3.8493,24.579,3.393024627867321
3.9493,23.929,3.387565599453976
4.0493,23.28,3.3812978260905058
4.1491,22.596,3.391609324204602
4.2493,21.947,3.39282244162979
4.3493,21.263,3.388778716879164
4.4493,20.579,3.3903962067794144
4.5491,19.93,3.3950464902426343
4.6499,19.281,3.394035559054978
4.7493,18.595,3.3885765306416324
4.8493,17.945,3.390598393016946
4.9492,17.261,3.3903962067794144
5.0493,16.612,3.3865546682663195
5.1493,15.929,3.3926202553922584
5.2493,15.279,3.3897896480668206
5.3491,14.596,3.3831175022282873
5.4493,13.946,3.3885765306416324
5.5493,13.26,3.387767785691507
5.6493,12.611,3.386756854503851
5.7493,11.927,3.390598393016946
5.8494,11.277,3.3839262471784126
5.9493,10.594,3.387767785691507
6.0498,9.944,3.387767785691507
6.1493,9.261,3.389587461829289
6.2492,8.612,3.3851393646036008
6.3493,7.928,3.393631186579915
6.4493,7.279,3.3871612269789133
6.5493,6.595,3.384330619653475
6.6494,5.946,3.383724060940881
6.7493,5.262,3.388374344404101
6.851,4.578,3.3845328058910065
6.9502,3.929,3.393024627867321
7.0513,3.245,3.38817215816657
7.1513,2.596,3.3944399315300404
7.2515,1.912,3.390598393016946
7.3513,1.263,3.3910027654920083
7.4513,0.579,3.389991834304352
7.5513,-0.103,3.3920136966796646
7.6516,-0.753,3.388980903116695
7.7512,-1.402,3.391811510442133
7.8516,-2.086,3.3845328058910065
7.9513,-2.735,3.390194020541883
