Time(s),Displacement(mm),Force(N)
0.0,-281.242,2.8105260775396403
0.1435,-281.242,2.8056736078388886
0.2432,-281.242,2.8097173325895146
0.345,-281.242,2.809919518827046
0.4447,-281.242,2.808302028926796
0.5445,-281.242,2.811739194964828
0.6446,-281.242,2.8074932839766706
0.7455,-281.242,2.802843000513451
0.8459,-281.242,2.8034495592260447
0.9455,-281.242,2.8121435674398905
1.0469,-281.242,2.807291097739139
1.1467,-281.242,2.810323891302109
1.2464,-281.242,2.807291097739139
1.3467,-281.242,2.8095151463519836
1.4467,-281.242,2.805471421601357
1.5463,-281.242,2.810323891302109
1.6468,-281.242,2.808302028926796
1.747,-281.242,2.806886725264077
1.8489,-281.242,2.806077980313951
1.9482,-281.242,2.8040561179386385
2.048,-281.242,2.8074932839766706
2.1484,-281.242,2.804460490413701
2.2481,-281.242,2.8030451867509822
2.3486,-281.242,2.8097173325895146
2.448,-281.242,2.805067049126295
2.55,-281.242,2.8089085876393898
2.6491,-281.242,2.808504215164327
2.7505,-281.242,2.811739194964828
2.8501,-281.242,2.811941381202359
2.9507,-281.242,2.8115370087272966
3.0511,-281.242,2.808302028926796
3.1515,-281.242,2.806280166551483
3.251,-281.242,2.803853931701107
3.3516,-281.242,2.811941381202359
3.4521,-281.242,2.8107282637771718
3.5537,-281.242,2.812547939914953
3.6535,-281.242,2.805067049126295
3.754,-281.242,2.8080998426892645
3.8532,-281.242,2.8087064014018583
3.9532,-281.242,2.8121435674398905
4.0532,-281.242,2.8109304500147028
4.1533,-281.242,2.8064823527890144
4.2544,-281.242,2.8074932839766706
4.3541,-281.242,2.8107282637771718
4.4559,-281.242,2.811132636252234
4.5564,-281.242,2.8066845390265454
4.6561,-281.242,2.807291097739139
4.7579,-281.242,2.805269235363826
4.8582,-281.242,2.805269235363826
4.9588,-281.242,2.8042583041761695
5.0591,-281.242,2.8095151463519836
5.1606,-281.242,2.808504215164327
5.2606,-281.242,2.805471421601357
5.3613,-281.242,2.809312960114452
5.4614,-281.242,2.817198223378173
5.5615,-281.242,2.8040561179386385
5.6616,-281.242,2.8030451867509822
5.7619,-281.242,2.8034495592260447
5.8622,-281.242,2.8046626766512324
5.9628,-281.242,2.8129523123900158
6.0629,-281.242,2.805067049126295
6.1629,-281.242,2.808302028926796
6.2621,-281.242,2.8066845390265454
6.3628,-281.242,2.8153785472403916
6.4637,-281.242,2.8105260775396403
6.5633,-281.242,2.806886725264077
6.6649,-281.242,2.812547939914953
6.7643,-281.242,2.818006968328298
6.8647,-281.242,2.821241948128799
6.9644,-281.242,2.8101217050645775
7.0651,-281.242,2.811132636252234
7.1653,-281.242,2.807897656451733
7.2659,-281.242,2.802034255563325
7.3656,-281.242,2.8137610573401406
7.4651,-281.242,2.806886725264077
7.5661,-281.242,2.808504215164327
7.6662,-281.242,2.806077980313951
7.7675,-281.242,2.816389478428048
7.8672,-281.242,2.8040561179386385
7.968,-281.242,2.801832069325794
8.0679,-281.242,2.8107282637771718
8.1675,-281.242,2.8042583041761695
8.2673,-281.242,2.8109304500147028
8.3678,-281.242,2.807291097739139
8.4691,-281.242,2.80587579407642
8.5682,-281.242,2.8107282637771718
8.6684,-281.242,2.814367616052735
8.7681,-281.242,2.8135588711026096
8.8709,-281.242,2.811132636252234
8.9706,-281.242,2.8091107738769208
9.0708,-281.242,2.811739194964828
9.1719,-281.242,2.8153785472403916
9.2729,-281.242,2.8095151463519836
