Time(s),Displacement(mm),Force(N)
0.0,-267.335,3.0284828415983838
0.141,-267.335,3.0282806553608523
0.2415,-267.335,3.0290894003109776
0.3423,-267.335,3.0292915865485086
0.443,-267.335,3.030706890211228
0.5427,-267.335,3.0305047039736968
0.6425,-267.335,3.032728752586541
0.7436,-267.335,3.0325265663490097
0.8445,-267.335,3.037379036049761
0.9452,-267.335,3.033941870011729
1.0463,-267.335,3.033335311299135
1.1463,-267.335,3.0331331250616036
1.2461,-267.335,3.034750614961854
1.3457,-267.335,3.035963732387042
1.4459,-267.335,3.033941870011729
1.5464,-267.335,3.038592153474949
1.646,-267.335,3.036974663574698
1.7456,-267.335,3.039198712187543
1.8455,-267.335,3.031920007636416
1.9466,-267.335,3.034750614961854
2.0475,-267.335,3.034750614961854
2.1473,-267.335,3.0317178213988845
2.2471,-267.335,3.034548428724323
2.3473,-267.335,3.0290894003109776
2.448,-267.335,3.031920007636416
2.5476,-267.335,3.0292915865485086
2.6479,-267.335,3.0317178213988845
2.7485,-267.335,3.034750614961854
2.8477,-267.335,3.031313448923822
2.9495,-267.335,3.035357173674448
3.0496,-267.335,3.041422760800387
3.1496,-267.335,3.031313448923822
3.2496,-267.335,3.032728752586541
3.3499,-267.335,3.034548428724323
3.4499,-267.335,3.0296959590235715
3.5506,-267.335,3.027269724173196
3.6513,-267.335,3.0262587929855393
3.7506,-267.335,3.0349528011993856
3.8506,-267.335,3.0258544205104765
3.9509,-267.335,3.0317178213988845
4.0514,-267.335,3.03414405624926
4.1507,-267.335,3.0389965259500116
4.2505,-267.335,3.031920007636416
4.3505,-267.335,3.0383899672374173
4.4506,-267.335,3.035357173674448
4.5514,-267.335,3.037379036049761
4.6514,-267.335,3.0363681048621043
4.7505,-267.335,3.0406140158502617
4.8508,-267.199,3.0719528826676137
4.9724,-266.995,3.0169582260590992
5.0719,-267.0,3.051329886439421
5.1717,-267.0,3.052340817627077
5.2718,-267.0,3.052138631389546
5.3724,-267.0,3.050116769014233
5.4725,-267.0,3.048903651589045
5.5717,-267.0,3.0462752305011382
5.6723,-267.0,3.0410183883253246
5.772,-267.0,3.045466485551013
5.8717,-267.0,3.043242436938169
5.9729,-267.0,3.043848995650763
6.0732,-267.0,3.0424336919880433
6.1731,-267.0,3.0464774167386692
6.2727,-267.0,3.048903651589045
6.3726,-267.0,3.042838064463106
6.4732,-267.0,3.0468817892137325
6.573,-267.0,3.0539583075273278
6.6725,-267.0,3.042231505750512
6.7727,-267.0,3.0474883479263264
6.8731,-267.0,3.0444555543633567
6.9731,-267.0,3.0462752305011382
7.0726,-267.0,3.041422760800387
7.1744,-267.0,3.0396030846626054
7.2737,-267.0,3.0468817892137325
7.374,-267.0,3.0430402507006376
7.4739,-267.0,3.0430402507006376
7.5744,-267.0,3.042838064463106
7.674,-267.0,3.0410183883253246
7.7742,-267.0,3.0444555543633567
7.8739,-267.0,3.038592153474949
7.9739,-267.0,3.0446577406008877
8.0741,-267.0,3.0418271332754494
8.1739,-267.0,3.0416249470379184
8.2739,-267.0,3.046679602976201
8.3741,-267.0,3.0424336919880433
8.4742,-267.0,3.047286161688795
8.5742,-267.0,3.0442533681258253
8.6739,-267.0,3.042231505750512
8.7739,-267.0,3.046679602976201
8.874,-267.0,3.0450621130759505
8.974,-267.0,3.042635878225575
9.0739,-267.0,3.044051181888294
9.174,-267.0,3.0396030846626054
9.2744,-267.0,3.0389965259500116
9.3738,-267.0,3.040816202087793
9.4739,-267.0,3.046679602976201
9.5739,-267.0,3.040007457137668
9.674,-267.0,3.0446577406008877
9.7741,-267.0,3.042029319512981
9.8739,-267.0,3.0410183883253246
9.9737,-267.0,3.040007457137668
10.0739,-267.0,3.044051181888294
10.1743,-267.0,3.0456686717885444
10.2737,-267.0,3.0402096433751993
10.3743,-267.0,3.047286161688795
10.4744,-267.0,3.0484992791139827
10.5743,-267.0,3.0410183883253246
10.6747,-267.0,3.0430402507006376
10.7751,-267.0,3.0458708580260754
10.8753,-267.0,3.0412205745628555
10.9755,-267.0,3.036974663574698
11.0747,-267.0,3.0458708580260754
11.1755,-267.0,3.0450621130759505
11.2757,-267.0,3.037581222287292
11.3758,-267.0,3.0452642993134815
11.4762,-267.0,3.0446577406008877
11.577,-267.0,3.0416249470379184
11.6768,-267.0,3.0363681048621043
11.778,-267.0,3.0410183883253246
11.8788,-267.0,3.038592153474949
11.9795,-267.0,3.03879433971248
12.0792,-267.0,3.0436468094132314
12.18,-267.0,3.0474883479263264
12.2797,-267.0,3.039400898425074
12.3802,-267.0,3.0434446231757
12.481,-267.0,3.0450621130759505
12.5809,-267.0,3.046073044263607
12.6813,-267.0,3.044051181888294
12.7814,-267.0,3.047892720401389
12.8808,-267.0,3.0555757974275783
12.9809,-267.0,3.0458708580260754
13.0816,-267.0,3.0511277002018895
13.1811,-267.0,3.056991101090297
13.2809,-267.146,3.0284828415983838
13.4017,-267.56,3.0250456755603516
13.5034,-268.211,3.0226194407099762
13.6031,-268.895,3.00462486556969
13.7029,-269.578,2.987843407854592
13.8034,-270.006,3.0155429223963806
13.9044,-270.0,2.989663083992374
14.0056,-270.0,2.9922915050802805
14.1062,-270.0,2.9953242986432502
14.2061,-270.0,2.993302436267937
14.3069,-270.0,2.991078387655093
14.4084,-270.0,2.984001869341497
14.5079,-270.0,2.983193124391372
14.6081,-270.0,2.9860237317168106
14.7089,-270.0,2.983193124391372
14.8096,-270.0,2.981777820728653
14.909,-270.0,2.9868324766669354
15.0087,-270.0,2.989258711517311
15.1088,-270.0,2.989663083992374
15.2087,-270.0,2.9856193592417477
15.3107,-270.0,2.9819800069661846
15.4111,-270.0,2.9821821932037156
15.5119,-270.0,2.9874390353795293
15.6121,-270.0,2.989258711517311
15.7118,-270.0,2.98905652527978
15.8119,-270.0,2.9882477803296545
15.9116,-270.0,2.988449966567186
16.012,-270.0,2.985821545479279
16.1125,-270.0,2.985821545479279
16.2118,-270.0,2.985821545479279
16.3125,-270.0,2.9860237317168106
16.4135,-270.0,2.9868324766669354
16.5133,-270.0,2.9856193592417477
16.6138,-270.0,2.9860237317168106
16.714,-270.0,2.985214986766685
16.814,-270.0,2.9807668895409964
16.9138,-270.0,2.9876412216170607
17.0149,-270.0,2.9835974968664347
