Time(s),Displacement(mm),Force(N)
0.0,-266.958,3.100056769684465
0.1217,-267.338,3.1146141787867183
0.2214,-268.026,3.092171506420744
0.3212,-268.676,3.081657822069116
0.4219,-269.359,3.062247943266111
0.522,-270.043,3.038592153474949
0.6229,-270.692,3.0371768498122296
0.7224,-271.376,3.033537497536666
0.822,-272.026,3.025450048035414
0.9225,-272.709,3.0539583075273278
1.0225,-273.358,3.05436268000239
1.123,-274.042,3.0371768498122296
1.223,-274.691,3.037581222287292
1.323,-275.375,3.044859926838419
1.4233,-276.024,3.064269805641424
1.5245,-276.708,3.0679091579169877
1.6243,-277.392,3.0604282671283296
1.724,-278.041,3.0644719918789556
1.8248,-278.725,3.0707397652424255
1.9246,-279.374,3.084084056919492
2.0259,-280.058,3.0966196036464324
2.1253,-280.707,3.0893408990953057
2.2257,-281.391,3.098843652259277
2.3256,-282.04,3.1105704540360923
2.4268,-282.724,3.12108413838772
2.5267,-283.408,3.1214885108627826
2.6272,-284.057,3.1265431668010653
2.7277,-284.741,3.1435268107536944
2.827,-285.39,3.1615213858939804
2.9288,-286.074,3.1698110216327637
3.0285,-286.757,3.1835596857848922
3.1285,-287.406,3.1890187141982373
3.2299,-288.09,3.1956908600367706
3.3296,-288.74,3.2128766902269312
3.4298,-289.423,3.2302647066546233
3.5309,-290.072,3.222783815865965
3.6311,-290.756,3.2351171763553745
3.7319,-291.44,3.2448221157568766
3.8326,-292.089,3.259581711096662
3.9322,-292.775,3.268477905548039
4.033,-293.424,3.2895052742512947
4.1335,-294.108,3.2903140192014195
4.2345,-294.792,3.30749984939158
4.3358,-295.441,3.309319525529362
4.4342,-296.125,3.306488918203924
4.5352,-296.774,3.320237582356053
4.6369,-297.458,3.308308594341706
4.737,-298.141,3.311543574142206
4.8371,-298.791,3.2994123998903286
4.9389,-299.474,3.287887784351044
5.039,-300.158,3.2781828449495416
5.138,-300.807,3.2452264882319395
5.2389,-301.457,3.193466811423926
5.3388,-302.143,3.15525361253051
5.4382,-302.793,3.0899474578078996
5.539,-303.476,2.9967396023059694
5.6396,-304.128,2.900094580766007
5.7399,-304.814,2.7737281823089432
5.8405,-305.497,2.615618544559465
5.9412,-306.147,2.435672793156606
6.0422,-306.83,2.199317081482514
6.143,-307.514,1.9138301140883154
6.2437,-308.163,1.5703156965226333
6.343,-308.847,1.1738284847237501
6.443,-309.496,0.7015214338506286
6.5438,-310.18,0.13782620361335854
6.6431,-310.829,-0.5324211738029078
6.7438,-311.513,-1.3189256377996728
6.8432,-312.162,-2.238468646092034
6.9432,-312.846,-3.328454652623283
7.0436,-313.496,-4.566845357502508
7.1431,-314.179,-5.998121732986595
7.2441,-314.828,-7.634414953327423
7.3444,-315.512,-9.440746799432073
7.4444,-316.161,-11.527510956992643
7.5441,-316.779,-13.350624260812394
7.6447,-316.801,-13.285520292327313
7.7444,-316.801,-13.159760452582844
7.8443,-316.801,-13.088186524496763
7.9443,-316.801,-13.030563446800342
8.0443,-316.8,-12.994372110282239
8.1443,-316.8,-12.96020263613945
8.2451,-316.8,-12.932300935360129
8.3451,-316.8,-12.906825469431185
8.4463,-316.8,-12.894694295179306
8.5461,-316.8,-12.869623201725426
8.6471,-316.8,-12.853650488960453
8.7475,-316.8,-12.841923687183638
8.848,-316.8,-12.825950974418664
8.9488,-316.8,-12.81280886897913
9.049,-316.8,-12.796229597501563
9.1483,-316.8,-12.789759637900561
9.2499,-316.8,-12.769338827909898
9.3494,-316.8,-12.767519151772118
9.449,-316.8,-12.755792349995303
9.5496,-316.8,-12.754579232570114
9.6491,-316.8,-12.74143712713058
9.7496,-316.8,-12.734967167529579
9.8498,-316.8,-12.729508139116234
9.951,-316.8,-12.721016317139918
10.0501,-316.8,-12.722027248327574
10.151,-316.8,-12.71212012268854
10.2517,-316.8,-12.701404252099382
10.351,-316.8,-12.703830486949757
10.4517,-316.8,-12.694529920023317
10.5515,-316.8,-12.691294940222816
10.6514,-316.8,-12.682803118246502
10.7517,-316.8,-12.672895992607469
10.852,-316.8,-12.667639150431654
10.9511,-316.8,-12.666628219243998
11.0517,-316.8,-12.666223846768936
11.1521,-316.8,-12.658338583505214
11.2521,-316.8,-12.649240202816305
11.3521,-316.8,-12.644185546878024
11.4531,-316.8,-12.645398664303212
11.5527,-316.8,-12.63104344143849
11.6524,-316.8,-12.639130890939741
11.7528,-316.8,-12.625786599262675
11.8529,-316.8,-12.616890404811299
11.9523,-316.8,-12.6201253846118
12.0527,-316.8,-12.6201253846118
12.152,-316.8,-12.610016072735235
12.2521,-316.8,-12.619721012136736
12.3522,-316.8,-12.61385761124833
12.4526,-316.8,-12.606578906697202
12.553,-316.8,-12.604354858084356
12.6533,-316.8,-12.604152671846826
12.7537,-316.8,-12.597884898483356
12.8534,-316.8,-12.605567975509546
12.955,-316.8,-12.597884898483356
13.0551,-316.8,-12.590201821457166
13.1559,-316.8,-12.577868460967757
13.2553,-316.8,-12.580901254530726
13.3555,-316.8,-12.582114371955914
13.4556,-316.8,-12.579283764630476
13.5552,-316.8,-12.574431294929724
13.6562,-316.8,-12.566950404141068
13.7569,-316.8,-12.560076072065003
13.8571,-316.8,-12.55967169958994
13.958,-316.8,-12.551382063851156
14.0572,-316.8,-12.548349270288188
14.1577,-316.8,-12.552392995038813
14.2576,-316.8,-12.546125221675343
14.3571,-316.8,-12.543496800587436
14.4573,-316.8,-12.53197218504815
14.5571,-316.8,-12.535611537323714
